Facebook director Andreessen sells $54 million in shares to cover taxes ,2012-11-21
Facebook director Andreessen sells $54 mln in shares to cover taxes ,2012-11-21
Facebook to share data with Instagram  loosen email rules ,2012-11-21
Facebook to share data with Instagram  loosen email rules ,2012-11-21
BRIEF-Facebook up in premarket after Bernstein upgrade ,2012-11-26
Facebook not so fun with a click from boss or mom ,2012-11-26
Facebook not so fun with a click from boss or mum ,2012-11-26
Privacy groups ask Facebook to withdraw proposed policy changes ,2012-11-27
Privacy groups ask Facebook to withdraw proposed policy changes ,2012-11-27
Tajikistan blocks Facebook access to silence critics ,2012-11-27
Tajikistan blocks Facebook access to silence critics ,2012-11-27
Man who sued Facebook pleads not guilty to fraud ,2012-11-28
BRIEF-Zynga shares fall after entering into amendment with Facebook ,2012-11-29
Facebook can now develop own games after amending Zynga deal ,2012-11-29
Facebook  Zynga revamp partnership ,2012-11-29
UPDATE 1-Facebook  Zynga revamp partnership ,2012-11-29
Facebook  Zynga revamp partnership ,2012-11-30
UPDATE 2-Facebook  Zynga revamp partnership ,2012-11-30
US STOCKS-Wall Street little changed; Obama to speak on 'fiscal cliff' ,2012-11-30
US STOCKS-Wall Street set to open flat on 'fiscal cliff' concerns ,2012-11-30
Zynga shares slide after privileged status with Facebook ends ,2012-11-30
Facebook voting begins on Instagram data-sharing  email privacy ,2012-12-03
Facebook voting begins on Instagram data-sharing  email privacy ,2012-12-03
CORRECTED-Student group to go to court over Facebook privacy policy ,2012-12-04
CORRECTED-UPDATE 2-Student group to go to court over Facebook privacy policy ,2012-12-04
Judge gives initial OK to revised Facebook privacy settlement ,2012-12-04
Student group takes Facebook privacy gripes to court ,2012-12-04
UPDATE 4-Student group takes Facebook privacy gripes to court ,2012-12-04
U.S. judge gives initial OK to revised Facebook privacy settlement ,2012-12-04
Facebook's Instagram cuts support for key Twittter integration ,2012-12-05
In brewing rivalry  Instagram trims ties to Twitter ,2012-12-05
Instagram's Systrom coy on ad plans  user data ,2012-12-05
Instagram's Systrom coy on ad plans  user data ,2012-12-05
UPDATE 2-In brewing rivalry  Instagram trims ties to Twitter ,2012-12-05
Facebook in talks to buy Microsoft ad technology-reports ,2012-12-06
Facebook in talks to buy Microsoft ad technology: reports ,2012-12-06
In brewing rivalry  Instagram trims ties to Twitter ,2012-12-06
U.S. judge names lead plaintiffs in Facebook litigation ,2012-12-06
U.S. judge names lead plaintiffs in Facebook litigation ,2012-12-06
Italian tax police visit Facebook's Milan offices ,2012-12-07
Italian tax police visit Facebook's Milan offices ,2012-12-07
REFILE-UPDATE 3-Netflix says CEO's Facebook post triggered SEC notice ,2012-12-07
SEC wrestles with Internet age in Netflix case ,2012-12-07
U.S. SEC wrestles with Internet age in Netflix case ,2012-12-07
SEC wrestles with Internet age in Netflix case ,2012-12-08
